search_text,lat,lon,min_lat,max_lat,min_lon,max_lon,display_name,osm_type,osm_id,geocoder,status,geo_resolution
"Woolworths Golden Grove (The Stables) 5632, SA, 5125, Australia",-34.9206307,138.6039688,-34.9209569,-34.9197868,138.6034955,138.6041535,"Art Gallery of South Australia, Western Drive, Adelaide, Adelaide City Council, South Australia, 5000, Australia",way,205173204,nominatim,ok,postcode
"Gregory Hills Hotel, NSW, 2557, Australia",-34.0225757,150.7655311,-34.0228287,-34.0222608,150.7652151,150.7658723,"Gregory Hills Hotel, Gregory Hills Drive, Gregory Hills, Sydney, Camden Council, New South Wales, 2557, Australia",way,694615843,nominatim,ok,exact
"Moyhall, SA, 5271, Australia",-37.051935,140.6714581,-37.1103235,-36.9809053,140.6117489,140.7367781,"Moyhall, Naracoorte Lucindale Council, South Australia, 5271, Australia",relation,6714116,nominatim,ok,exact
"AU371 -Lytton Industry U3 & U4, QLD, 4178, Australia",-27.5419813,153.0791853,-27.5422586,-27.5411197,153.078875,153.0796915,"Hillsong Brisbane Campus, 16, Rover Street, Mount Gravatt Central, Mount Gravatt, Greater Brisbane, Queensland, 4122, Australia",relation,15268146,nominatim,ok,postcode
"Kerarbury Station Almond Orchard, NSW, 2706, Australia",-33.9175994,151.2312369,-33.9200415,-33.9149767,151.2256851,151.2363792,"University of New South Wales, Gate 5-6 Avenue, Kensington, Eastern Suburbs, Sydney, Randwick City Council, New South Wales, 2033, Australia",way,173530296,nominatim,ok,postcode
"Steel Building Systems, SA, 5113, Australia",-34.7123891,138.6852025,-34.7197018,-34.7039655,138.6729057,138.6995815,"Elizabeth Park, Adelaide, City of Playford, South Australia, 5113, Australia",relation,7385724,nominatim,ok,postcode
"Temperzone - 359.52kW, NSW, 2148, Australia",-33.8471082,151.0633848,-33.8483817,-33.8458578,151.0618632,151.064905,"Accor Stadium, 15, Edwin Flack Avenue, Sydney Olympic Park, Sydney, City of Parramatta Council, New South Wales, 2127, Australia",way,4385777,nominatim,ok,postcode
"Cowboys HQ, QLD, 4810, Australia",-19.2436681,146.7930554,-19.2443657,-19.2427662,146.7920704,146.7939324,"QLD Police Service Academy, Heatleys Parade, Belgian Gardens, Townsville, Townsville City, Queensland, 4810, Australia",way,1020176520,nominatim,ok,postcode
"DUX MANUFACTURING LIMITED, NSW, 2577, Australia",-33.8471082,151.0633848,-33.8483817,-33.8458578,151.0618632,151.064905,"Accor Stadium, 15, Edwin Flack Avenue, Sydney Olympic Park, Sydney, City of Parramatta Council, New South Wales, 2127, Australia",way,4385777,nominatim,ok,postcode
"GPT Highpoint DJ, VIC, 3032, Australia",-37.7545199,144.9807272,-37.754641,-37.7543988,144.9803279,144.9811265,"Islamic Museum of Australia, 15A, Anderson Road, Thornbury, Melbourne, City of Darebin, Victoria, 3071, Australia",way,267164272,nominatim,ok,postcode
"Mercy Place Cairns, QLD, 4870, Australia",-16.9302495,145.7497132,-16.9307535,-16.9297495,145.7489738,145.7500556,"Mercy Place Cairns (Bethlehem), Lyons Street, Westcourt, Cairns, Cairns Regional, Queensland, 4870, Australia",way,309891799,nominatim,ok,exact
"Mirani Water Recycling Facility, QLD, 4754, Australia",-21.1585013,148.8627776,-21.1585513,-21.1584513,148.8627276,148.8628276,"Australia Post, Mackay Eungella Road, Mirani, Mackay Regional, Queensland, Australia",node,2049365601,nominatim,ok,postcode
"OPAL Bankstown Terrace Care Community, NSW, 2200, Australia",-33.8471082,151.0633848,-33.8483817,-33.8458578,151.0618632,151.064905,"Accor Stadium, 15, Edwin Flack Avenue, Sydney Olympic Park, Sydney, City of Parramatta Council, New South Wales, 2127, Australia",way,4385777,nominatim,ok,postcode
"OPAL Berkeley Care Community, NSW, 2261, Australia",-33.8737539,151.2095867,-33.8738039,-33.8737039,151.2095367,151.2096367,"HarperCollins Publishers Australia, 201, Elizabeth Street, Koreatown, Sydney, Sydney CBD, Sydney, Council of the City of Sydney, New South Wales, 2000, Australia",node,6602426833,nominatim,ok,postcode
"UCS Pakenham, VIC, 3810, Australia",-37.8688729,145.2126338,-37.869025,-37.8686207,145.2124983,145.2127695,"Melbourne Australia Temple, Pumps Court, Wantirna South, Melbourne, City of Knox, Victoria, 3152, Australia",way,24054567,nominatim,ok,postcode
"Armadale Shopping Centre 576kW, WA, 6112, Australia",-31.9583861,115.8645238,-31.9584361,-31.9583361,115.8644738,115.8645738,"Federal Court of Australia, 1, Victoria Avenue, Perth, City of Perth, Western Australia, 6000, Australia",node,11002557411,nominatim,ok,postcode
"Armadale Shopping Centre 700kW, WA, 6112, Australia",-31.9583861,115.8645238,-31.9584361,-31.9583361,115.8644738,115.8645738,"Federal Court of Australia, 1, Victoria Avenue, Perth, City of Perth, Western Australia, 6000, Australia",node,11002557411,nominatim,ok,postcode
"AU876 Rosehill Industrial Estate - Buildings C & D, NSW, 2142, Australia",-33.8471082,151.0633848,-33.8483817,-33.8458578,151.0618632,151.064905,"Accor Stadium, 15, Edwin Flack Avenue, Sydney Olympic Park, Sydney, City of Parramatta Council, New South Wales, 2127, Australia",way,4385777,nominatim,ok,postcode
"Mayfield Aged Care, NSW, 2304, Australia",-32.8952076,151.740812,-32.8954891,-32.8949261,151.7403257,151.7412983,"Mayfield Aged Care, Section Street, Mayfield, Newcastle, Newcastle-Maitland, City of Newcastle, New South Wales, 2304, Australia",way,377239259,nominatim,ok,exact
"Westrac Tomago, NSW, 2322, Australia",-32.8229205,151.7524937,-32.8242946,-32.8194125,151.7496186,151.757306,"Westrac CAT, Tomago, Newcastle-Maitland, Port Stephens Council, New South Wales, 2322, Australia",way,1033369139,nominatim,ok,exact
