,Label,Year,Wholesale trade (no.),Retail trade (no.),Accommodation and food services (no.),"Transport, postal and warehousing (no.)",Information media and telecommunications (no.),Financial and insurance services (no.),"Rental, hiring and real estate services (no.)","Professional, scientific and technical services (no.)",Administrative and support services (no.),Public administration and safety (no.),Education and training (no.),Health care and social assistance (no.),Arts and recreation services (no.),search_text,lat,lon,min_lat,max_lat,min_lon,max_lon,display_name,osm_type,osm_id,geocoder,status,geo_resolution
54,TAS,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-42.035067,146.6366887,-55.1730541,-39.1984777,143.748821,159.0840828,"Tasmania, Australia",relation,2369652,nominatim,ok,state
55,TAS,2020,1002,2614,2363,3026,263,1075,3944,3849,1396,99,464,2627,523,"Western Australia, Australia",-42.035067,146.6366887,-55.1730541,-39.1984777,143.748821,159.0840828,"Tasmania, Australia",relation,2369652,nominatim,ok,state
56,TAS,2021,1036,2677,2412,3012,276,1133,4004,4066,1500,103,493,2765,550,"Western Australia, Australia",-42.035067,146.6366887,-55.1730541,-39.1984777,143.748821,159.0840828,"Tasmania, Australia",relation,2369652,nominatim,ok,state
57,TAS,2022,1038,2740,2478,3163,285,1193,4175,4217,1626,105,541,2891,596,"Western Australia, Australia",-42.035067,146.6366887,-55.1730541,-39.1984777,143.748821,159.0840828,"Tasmania, Australia",relation,2369652,nominatim,ok,state
58,TAS,2023,999,2723,2490,3355,293,1205,4246,4337,1728,104,551,3145,626,"Western Australia, Australia",-42.035067,146.6366887,-55.1730541,-39.1984777,143.748821,159.0840828,"Tasmania, Australia",relation,2369652,nominatim,ok,state
59,TAS,2024,951,2654,2483,3455,297,1271,4279,4320,1762,108,556,3409,654,"Western Australia, Australia",-42.035067,146.6366887,-55.1730541,-39.1984777,143.748821,159.0840828,"Tasmania, Australia",relation,2369652,nominatim,ok,state
60,NT,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-19.8516101,133.2303375,-25.99862,-10.8524628,129.0004454,138.0273711,"Northern Territory, Australia",relation,2316594,nominatim,ok,state
61,NT,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-19.8516101,133.2303375,-25.99862,-10.8524628,129.0004454,138.0273711,"Northern Territory, Australia",relation,2316594,nominatim,ok,state
62,NT,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-19.8516101,133.2303375,-25.99862,-10.8524628,129.0004454,138.0273711,"Northern Territory, Australia",relation,2316594,nominatim,ok,state
63,NT,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-19.8516101,133.2303375,-25.99862,-10.8524628,129.0004454,138.0273711,"Northern Territory, Australia",relation,2316594,nominatim,ok,state
64,NT,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"Western Australia, Australia",-19.8516101,133.2303375,-25.99862,-10.8524628,129.0004454,138.0273711,"Northern Territory, Australia",relation,2316594,nominatim,ok,state
65,NT,2020,311,936,746,1325,105,419,1914,1459,738,65,203,849,212,"Western Australia, Australia",-19.8516101,133.2303375,-25.99862,-10.8524628,129.0004454,138.0273711,"Northern Territory, Australia",relation,2316594,nominatim,ok,state
66,NT,2021,331,926,777,1365,105,436,1922,1521,745,67,210,967,207,"Western Australia, Australia",-19.8516101,133.2303375,-25.99862,-10.8524628,129.0004454,138.0273711,"Northern Territory, Australia",relation,2316594,nominatim,ok,state
67,NT,2022,326,965,841,1429,113,451,1975,1637,825,68,232,1064,242,"Western Australia, Australia",-19.8516101,133.2303375,-25.99862,-10.8524628,129.0004454,138.0273711,"Northern Territory, Australia",relation,2316594,nominatim,ok,state
