,project_name,state,postcode,fuel_source,capacity_mw,project_stage,stage_date,accreditation_start_date,accreditation_code,search_text,lat,lon,min_lat,max_lat,min_lon,max_lon,display_name,osm_type,osm_id,geocoder,status,geo_resolution
0,"Laura Johnson Home, Townview",QLD,4825,Solar,0.2265,approved,2025-01-13,2024-10-15,SRPXQLE8,"QLD, 4825, Australia",-20.7290052,139.4932236,-20.7290552,-20.7289552,139.4931736,139.4932736,"Mount Isa Post Office, Isa Street, Mount Isa City, Mount Isa, Mount Isa City, Queensland, 4825, Australia",node,289547296,nominatim,ok,postcode
1,Leppington,NSW,2179,Solar,0.732,approved,2025-01-13,2024-11-22,SRPYNS39,"Leppington, NSW, 2179, Australia",-33.9650028,150.8011028,-34.0043308,-33.9483242,150.7594078,150.8413822,"Leppington, Sydney, Camden Council, New South Wales, 2179, Australia",relation,5519705,nominatim,ok,exact
2,Quakers Hillside Care Community,NSW,2763,Solar,0.1996,approved,2025-01-13,2024-12-19,SRPYNS58,"Quakers Hillside Care Community, NSW, 2763, Australia",-33.7197167,150.8922198,-33.7197667,-33.7196667,150.8921698,150.8922698,"Quakers Hillside Care Community, Hambledon Rd, Hambledon Road, Quakers Hill, Sydney, Blacktown City Council, New South Wales, 2763, Australia",node,2918464324,nominatim,ok,exact
3,Rest Nominees,VIC,3008,Solar,0.1188,approved,2025-01-13,2024-09-20,SRPXVCN4,"VIC, 3008, Australia",-37.8175803,144.9699764,-37.8180667,-37.8170121,144.9696033,144.9703389,"Ian Potter Centre: NGV Australia, Russell Street, East End Theatre District, Melbourne, City of Melbourne, Victoria, 3000, Australia",way,22963243,nominatim,ok,postcode
4,Retail First Mt Ommaney,QLD,4074,Solar,1.0004,approved,2025-01-13,2024-10-29,SRPXQLF9,"QLD, 4074, Australia",-27.5419813,153.0791853,-27.5422586,-27.5411197,153.0788750,153.0796915,"Hillsong Brisbane Campus, 16, Rover Street, Mount Gravatt Central, Mount Gravatt, Greater Brisbane, Queensland, 4122, Australia",relation,15268146,nominatim,ok,postcode
5,Woolworths HCFDC Heathwood,QLD,4110,Solar,1.6721,approved,2025-01-13,2024-12-12,SRPXQLG3,"QLD, 4110, Australia",-27.5419813,153.0791853,-27.5422586,-27.5411197,153.0788750,153.0796915,"Hillsong Brisbane Campus, 16, Rover Street, Mount Gravatt Central, Mount Gravatt, Greater Brisbane, Queensland, 4122, Australia",relation,15268146,nominatim,ok,postcode
6,Woolworths Kings Meadow 7210,TAS,7249,Solar,0.2926,approved,2025-01-13,2024-11-18,SRPVTA25,"TAS, 7249, Australia",-41.4817938,147.1526307,-41.4824449,-41.4812750,147.1521726,147.1531907,"Tas Petroleum, 5, Dolerite Drive, Connector Park, Kings Meadows, Launceston, City of Launceston, Tasmania, 7249, Australia",way,1052155286,nominatim,ok,postcode
7,CLAYTON CHURCH HOMES INC- ELIZABETH PARK,SA,5113,Solar,0.1965,approved,2025-01-17,2024-12-11,SRPVSAY5,"SA, 5113, Australia",-34.7123891,138.6852025,-34.7197018,-34.7039655,138.6729057,138.6995815,"Elizabeth Park, Adelaide, City of Playford, South Australia, 5113, Australia",relation,7385724,nominatim,ok,postcode
8,Dalwood Children's Home,NSW,2092,Solar,0.2465,approved,2025-01-17,2024-12-19,SRPYNS57,"NSW, 2092, Australia",-33.8737539,151.2095867,-33.8738039,-33.8737039,151.2095367,151.2096367,"HarperCollins Publishers Australia, 201, Elizabeth Street, Koreatown, Sydney, Sydney CBD, Sydney, Council of the City of Sydney, New South Wales, 2000, Australia",node,6602426833,nominatim,ok,postcode
9,Haighs Proprietary Limited - Salisbury South,SA,5106,Solar,0.6265,approved,2025-01-17,2024-12-27,SRPVSAY1,"SA, 5106, Australia",-34.9206307,138.6039688,-34.9209569,-34.9197868,138.6034955,138.6041535,"Art Gallery of South Australia, Western Drive, Adelaide, Adelaide City Council, South Australia, 5000, Australia",way,205173204,nominatim,ok,postcode
10,Lindt & Sprungli (Australia) Pty Ltd - 1017.9kW,NSW,2765,Solar,1.0179,approved,2025-01-17,2024-12-17,SRPYNS56,"NSW, 2765, Australia",-33.8471082,151.0633848,-33.8483817,-33.8458578,151.0618632,151.0649050,"Accor Stadium, 15, Edwin Flack Avenue, Sydney Olympic Park, Sydney, City of Parramatta Council, New South Wales, 2127, Australia",way,4385777,nominatim,ok,postcode
11,Midfield Trading,SA,5010,Solar,0.6443,approved,2025-01-17,2024-11-25,SRPVSAX9,"SA, 5010, Australia",-34.9206307,138.6039688,-34.9209569,-34.9197868,138.6034955,138.6041535,"Art Gallery of South Australia, Western Drive, Adelaide, Adelaide City Council, South Australia, 5000, Australia",way,205173204,nominatim,ok,postcode
12,Wilandra Farms Clydebank,VIC,3851,Solar,0.155,approved,2025-01-17,2024-12-20,SRPXVCG8,"VIC, 3851, Australia",-38.165166,144.3376679,-38.1751660,-38.1551660,144.3276679,144.3476679,"Australia, Belmont, Geelong, City of Greater Geelong, Victoria, 3216, Australia",node,12137181988,nominatim,ok,postcode
13,Balickera WPS,NSW,2324,Solar,3.1158,approved,2025-01-20,2024-11-05,SRPYNS13,"NSW, 2324, Australia",-33.9175994,151.2312369,-33.9200415,-33.9149767,151.2256851,151.2363792,"University of New South Wales, Wansey Road Shared Path, Kensington, Eastern Suburbs, Sydney, Randwick City Council, New South Wales, 2031, Australia",way,173530296,nominatim,ok,postcode
14,The Creeks Pipeline Company Ltd,SA,5259,Solar,2.808,approved,2025-01-20,2024-12-01,SRPVSAX0,"SA, 5259, Australia",-34.9206307,138.6039688,-34.9209569,-34.9197868,138.6034955,138.6041535,"Art Gallery of South Australia, Western Drive, Adelaide, Adelaide City Council, South Australia, 5000, Australia",way,205173204,nominatim,ok,postcode
15,Lai Industries,SA,5010,Solar,0.5445,approved,2025-01-23,2024-10-16,SRPVSAX2,"SA, 5010, Australia",-34.9206307,138.6039688,-34.9209569,-34.9197868,138.6034955,138.6041535,"Art Gallery of South Australia, Western Drive, Adelaide, Adelaide City Council, South Australia, 5000, Australia",way,205173204,nominatim,ok,postcode
16,CLAYTON CHURCH HOMES INC- Prospect,SA,5082,Solar,0.198,approved,2025-01-28,2024-12-11,SRPVSAY6,"SA, 5082, Australia",-34.9206307,138.6039688,-34.9209569,-34.9197868,138.6034955,138.6041535,"Art Gallery of South Australia, Western Drive, Adelaide, Adelaide City Council, South Australia, 5000, Australia",way,205173204,nominatim,ok,postcode
17,Kerang Solar Plant,VIC,3579,Solar,37.2874,approved,2025-01-28,2025-01-21,SRPXVCP2,"VIC, 3579, Australia",-35.7328361,143.920514,-35.7328861,-35.7327861,143.9204640,143.9205640,"North Vic Sheds, Scoresby Street, Kerang, Shire of Gannawarra, Victoria, 3579, Australia",node,12708385212,nominatim,ok,postcode
